model,threshold,fp_cost,fn_cost,accuracy,balanced_accuracy,precision_1,recall_1,f1_1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,total_cost,avg_cost,scenario,fold
LogisticRegression,0.5,1,10,0.8570746154581065,0.7388292158165284,0.25770051845074715,0.6022808267997148,0.36095685604442546,0.32862753903271835,0.8110409888798965,0.3552104275073608,17097,2434,558,845,8014,0.3828222031145505,cost_1_10,3
MajorityClass,0.5,1,1,0.9329798414063246,0.5,0.0,0.0,0.0,0.0,0.5,0.06702015859367536,19531,0,1403,0,1403,0.06702015859367536,cost_1_1,3
MajorityClass,0.5,1,10,0.9329798414063246,0.5,0.0,0.0,0.0,0.0,0.5,0.06702015859367536,19531,0,1403,0,14030,0.6702015859367536,cost_1_10,3
MLP,0.9108080808080807,1,1,0.937708990159549,0.59316784001806,0.6102449888641426,0.19529579472558803,0.2958963282937365,0.32162214463409283,0.824233496446773,0.3709550024708301,19356,175,1129,274,1304,0.06229100984045094,cost_1_1,3
MLP,0.6039393939393939,1,10,0.8517722365529761,0.7492187338344332,0.25504322766570603,0.6307911617961511,0.36322593884670634,0.3351700141229369,0.824233496446773,0.3709550024708301,16946,2585,518,885,7765,0.3709276774625012,cost_1_10,3
ContextualBandit_cost_1_1,0.5,1,1,0.8099742046431643,0.7559269867706337,0.21521787215217872,0.6935138987883107,0.32849426063470627,0.3110469279074992,0.8029636019540622,0.23139463628043858,15983,3548,430,973,3978,0.19002579535683578,cost_1_1,3
ContextualBandit_cost_1_10,0.5,1,10,0.27362185917645937,0.5951748108248914,0.0821071752951862,0.9665003563791874,0.15135617814488225,0.11663846717414915,0.7285876067481661,0.1372272574505926,4372,15159,47,1356,15629,0.7465845036782268,cost_1_10,3
ContextualBandit_IPS_cost_1_1,0.5,1,1,0.7977930639151619,0.7431141048755103,0.2013507809202195,0.6799714896650035,0.31069858329262334,0.29055597800871746,0.808434736845601,0.3089695968071532,15747,3784,449,954,4233,0.20220693608483806,cost_1_1,3
ContextualBandit_IPS_cost_1_10,0.5,1,10,0.4484092863284609,0.6584147547224029,0.09974747474747475,0.9009265858873842,0.17960923623445826,0.16208824612151168,0.8053722588718273,0.3350544844454096,8123,11408,139,1264,12798,0.6113499570077386,cost_1_10,3
AutoTunedMLP,0.9108080808080807,1,1,0.9376134518008981,0.5954320913810904,0.6043010752688172,0.20028510334996436,0.30085653104925053,0.32384763004079203,0.8388001558864714,0.37734427208871046,19347,184,1122,281,1306,0.062386548199101936,cost_1_1,4
AutoTunedMLP,0.5841414141414141,1,10,0.8523932358842075,0.7591441250276941,0.2600284495021337,0.6514611546685674,0.3716958113054087,0.34672740119805123,0.8388001558864714,0.37734427208871046,16930,2601,489,914,7491,0.3578389223273144,cost_1_10,4
LogisticRegression,0.9652525252525253,1,1,0.9373746059042706,0.5840576085104466,0.6144278606965174,0.17605131860299358,0.2736842105263158,0.30631583395098166,0.8243330877429245,0.3671840024352708,19376,155,1156,247,1311,0.06262539409572944,cost_1_1,4
LogisticRegression,0.5,1,10,0.8618993025699818,0.7506766569862273,0.2699443413729128,0.6222380612972203,0.3765365538063403,0.3468792524240026,0.8243330877429245,0.3671840024352708,17170,2361,530,873,7661,0.3659596828126493,cost_1_10,4
MajorityClass,0.5,1,1,0.9329798414063246,0.5,0.0,0.0,0.0,0.0,0.5,0.06702015859367536,19531,0,1403,0,1403,0.06702015859367536,cost_1_1,4
MajorityClass,0.5,1,10,0.9329798414063246,0.5,0.0,0.0,0.0,0.0,0.5,0.06702015859367536,19531,0,1403,0,14030,0.6702015859367536,cost_1_10,4
MLP,0.9355555555555555,1,1,0.9373746059042706,0.5744650215770801,0.6337209302325582,0.15538132573057734,0.249570692615913,0.2929314465818264,0.8388800770805247,0.3768131371593809,19405,126,1185,218,1311,0.06262539409572944,cost_1_1,4
MLP,0.6187878787878788,1,10,0.8525843126015095,0.7575926320395746,0.2596401028277635,0.6478973627940128,0.3707177814029364,0.34520127205112544,0.8388800770805247,0.3768131371593809,16939,2592,494,909,7532,0.3597974586796599,cost_1_10,4
ContextualBandit_cost_1_1,0.5,1,1,0.8096875895672112,0.7650351928781238,0.21841588479162122,0.7134711332858161,0.334447043100568,0.3205365285464469,0.8244405434305454,0.2663889504735511,15949,3582,402,1001,3984,0.19031241043278876,cost_1_1,4
ContextualBandit_cost_1_10,0.5,1,10,0.26292156300754754,0.5953943568995146,0.08190760059612519,0.9793300071275838,0.151171746066674,0.11956884418394208,0.7466816738475921,0.16080838106497194,4130,15401,29,1374,15691,0.7495461927964078,cost_1_10,4
ContextualBandit_IPS_cost_1_1,0.5,1,1,0.8372504060380243,0.7596290715058573,0.2420185375901133,0.6699928724162509,0.35558918101002457,0.3340200903105273,0.8197786197522203,0.28334469177894595,16587,2944,463,940,3407,0.16274959396197575,cost_1_1,4
